Row ID,Outcome,Theme,Result
2,My Organisation,Commitment to the Organisation,48
3,My Organisation,Well-being,75
4,My Organisation,Coping with Change,69
5,My Job,Autonomy,59
6,My Job,Meaningfulness,65
7,My Job,Competence,80
8,My Job,Job Demands,51
9,My Job,Job Skills Match,58
10,My Job,Career Development and Mobility,44
11,My Job,Your Pay,42
12,My Job,Performance Standards,47
13,My Supports,Manager Career Support,56
14,My Supports,Social Support,78
15,My Supports,Leadership,50
16,My Supports,Organisational Support,49
17,My Supports,Learning and Development,56
18,My Environment,Innovative Climate,91
19,My Environment,Involvement Climate,36
20,My Views on the Civil Service,Citizen Impact,61
21,My Views on the Civil Service,Public Perception of the Civil Service,33
22,My Views on the Civil Service,Identification with the Civil Service,62
23,My Views on the Civil Service,Commitment to Civil Service Renewal,23
24,My Views on the Civil Service,Awareness of the Civil Service Renewal,19
1,My Organisation,Employee Engagement,70
